"","cells.per.100.1","cells.per.100.2","cells.per.100.3","cells.per.100.4","cells.per.100.5","cells.per.100.6","cells.per.100.7","cells.per.100.8","cells.per.100.9","cells.per.100.10","cells.per.100.11","cells.per.100.12","cells.per.100.13","cells.per.100.14","cells.per.100.15","cells.per.100.16","cells.per.100.17","cells.per.100.18","cells.per.100.19","cells.per.100.20","cells.per.100.21","cells.per.100.22","cells.per.100.23","cells.per.100.24","cells.per.100.25","cells.per.100.26","cells.per.100.27","cells.per.100.28","cells.per.100.29","cells.per.100.30","cells.per.100.31","cells.per.100.32","cells.per.100.33","cells.per.100.34","cells.per.100.35","cells.per.100.36","cells.per.100.37","cells.per.100.38","cells.per.100.39","cells.per.100.40","cells.per.100.41","cells.per.100.42","cells.per.100.43","cells.per.100.44","cells.per.100.45","cells.per.100.46","cells.per.100.47","cells.per.100.48","cells.per.100.49","cells.per.100.50","cells.per.100.51","cell.counts.1","cell.counts.2","cell.counts.3","cell.counts.4","cell.counts.5","cell.counts.6","cell.counts.7","cell.counts.8","cell.counts.9","cell.counts.10","cell.counts.11","cell.counts.12","cell.counts.13","cell.counts.14","cell.counts.15","cell.counts.16","cell.counts.17","cell.counts.18","cell.counts.19","cell.counts.20","cell.counts.21","cell.counts.22","cell.counts.23","cell.counts.24","cell.counts.25","cell.counts.26","cell.counts.27","cell.counts.28","cell.counts.29","cell.counts.30","cell.counts.31","cell.counts.32","cell.counts.33","cell.counts.34","cell.counts.35","cell.counts.36","cell.counts.37","cell.counts.38","cell.counts.39","cell.counts.40","cell.counts.41","cell.counts.42","cell.counts.43","cell.counts.44","cell.counts.45","cell.counts.46","cell.counts.47","cell.counts.48","cell.counts.49","cell.counts.50","cell.counts.51"
"macrophages",0.0142967262484114,0.0535810691109925,0.0355508360756178,0.0567020261667586,0.06365716852308,0.00404722893619673,0.0716883424754544,0.0870041021663736,0.0552046218590305,0.0437829695906057,0.0179820975241517,0.0726037843493976,0.0322910815084275,1.74555646766786,5.90118044283517,0.0459378894942301,0.0296681150349459,0,0,0.0175733395014505,0,0.0373640513025931,0,0,0.00807366032792668,0,0.0681097139747845,0,0.0960505978837748,0.0660493039775651,0.0844594795429786,0.0152183738393024,0.0877409992884878,0.0339742184645078,0.0439432865745726,0.0476280866399027,0.0836176138470655,0.0900421831400395,0.031860381451826,0,0.0482989518334161,0.0525171715435015,0.0809612638152296,0.0733851960389373,0.0660933664956588,0.0489757395929635,0.0742903063875937,0.0770732725398029,0.0466711190029791,0.0423767124381313,0.0587419485731762,0.12023546774914,0.453295844678996,0.296849481231408,0.428667317820695,0.513076778296024,0.0331872772768132,0.58999505857299,0.686462366092688,0.45102176058828,0.365149966385652,0.143317317267489,0.60624159931747,0.276088746897055,17.1239089478217,58.1266273619264,0.255414665587919,0.125792807748171,0,0,0.0618581550451058,0,0.240250849875674,0,0,0.021475936472285,0,0.286060798694095,0,0.532120312276112,0.365913144035711,0.440878483214348,0.0849185260233074,0.453620966321482,0.19806969364808,0.23333885171098,0.23480646713472,0.451535114774153,0.47902441430501,0.182559985718963,0,0.25888238182711,0.281492039473168,0.417760121286585,0.357385904709625,0.294776414570638,0.235573307442154,0.391509914662619,0.394615155403791,0.259958132846594,0.202984452578649,0.287835548008563
"mast",0.0162210005012716,0.0419422714944947,0.0310792498563997,0.0456880071586694,0.026054883996329,0.032660761506395,0.0425355713097662,0.033930314812532,0.0321940002013674,0.037116093750439,0.0301047002789679,0.0302129913386869,0.0232227570817558,0.0573232887908214,0.131670002748968,0.036494915392701,0.0527671402846549,0.0156127291894222,0.0294235246980153,0.0495657369774494,0.0275527841122806,0.0301133003450212,0.0322045881956682,0.0383906646055748,0.0208170367364753,0.0079662579721389,0.0460405140746512,0.0261055600653401,0.0521503275241672,0.0481953572733017,0.053068391279785,0.0297605821586409,0.0565095465437218,0.0359381399602439,0.0293799854818613,0.0240577584858846,0.0448528079506856,0.0531750715914709,0.0336999396644814,0,0.0238797202801945,0.0368944732998535,0.0343181013446662,0.0205791561875905,0.0310989848415906,0.0194817243109274,0.0416482021713369,0.0253609016563849,0.0262829241121487,0.0176529140053779,0.036257870879336,0.136418614215694,0.354831616843425,0.259511736300937,0.345401334119541,0.210002365010412,0.267818244352439,0.350067751879376,0.267710183870877,0.263024981645171,0.309548221878661,0.239934461223374,0.252278477678036,0.198554573049012,0.562341463037958,1.29694952707733,0.202911729583417,0.223732674806937,0.0677592446820924,0.1527080931827,0.174471394160622,0.117925916000561,0.193628521218486,0.183888198597266,0.11286855394039,0.0553733177190243,0.0359278234543464,0.193370159113535,0.137576301544342,0.288912814483886,0.267002279294091,0.277017002480478,0.166064048445216,0.292154355631042,0.209519355968222,0.156007722908684,0.118604749335411,0.242205162933702,0.282891380866625,0.193100654277478,0,0.127995300701843,0.197754376887215,0.177081402938477,0.100220490633566,0.138701472393494,0.0937070939355608,0.219486025442946,0.12984781648069,0.146395887304668,0.08455745808576,0.177663567308746
"B.naive",0,0,0,0,0,0,0,0,0,0,0,0,0,34.6212637320367,13.0109280828739,0,0.0326253015866738,0,0,0,0,0,0,0,0,0,0.0759763043629272,0,0.0609308733772904,0,0,0,0,0,0,0,0,0,0,0,0.0687823824038639,0,0.0757387087392636,0,0,0.00376653917024106,0,0.0182135350887026,0,0,0.0291643176392459,0,0,0,0,0,0,0,0,0,0,0,0,0,339.63459721128,128.157641616308,0,0.138331278727497,0,0,0,0,0,0,0,0,0,0.319100478324294,0,0.337557038510189,0,0,0,0,0,0,0,0,0,0,0,0.36867356968471,0,0.3908117370946,0,0,0.0181170534088595,0,0.0932532996541572,0,0,0.142905156432305
"B.memory",0,0,0,0,0,0,0,0,0,0,0,0,0,18.6495488415204,36.1198496383843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.952074135315,355.780518938085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"plasma",0.128543096812989,0.316242221493341,0.23833491410648,0.336754534172139,0.308729527730852,0.234012158817601,0.354838338149699,0.305237166112431,0.216876695630876,0.219523367669164,0.275284599541301,0.28444707722034,0.204753569251996,4.18391194120115,3.30785508308068,0.299942623357215,0.315374276226723,0.134144189666009,0.170798545838372,0.208754634123687,0.10271398239284,0.214559770419573,0.187278528401728,0.197131995960759,0.145334236917239,0.118239377683656,0.301753961467989,0.210114553730099,0.401622203620938,0.354912079323779,0.470173375974432,0.205339842524665,0.485692835741945,0.215325921920074,0.39350426360795,0.281278929404448,0.336747943458438,0.280209915809082,0.385308452550159,0,0.20876458103328,0.163437351337993,0.303568102689421,0.202278180448555,0.205917104138182,0.189868597642287,0.212447463362168,0.147778459073374,0.176043348128808,0.169302735359955,0.23841586313428,1.08104744419724,2.67540919383367,1.99009653278911,2.54586427834137,2.48835999351067,1.91889970230433,2.92031952297202,2.40832124062708,1.77188260330426,1.83082488636083,2.19401825834417,2.37513309478984,1.75064301710457,41.0441761431833,32.5823725683447,1.66768098586611,1.3371869312013,0.582185783150481,0.88644445290115,0.734816312115379,0.439615844641355,1.37961932379786,1.06936039717387,0.579568068124631,0.386589070199857,0.53325959335329,1.26736663816555,1.10730369815762,2.22498700806,1.96621291945374,2.45430502258654,1.14579632128763,2.51103196078586,1.25535012479403,2.08950763975821,1.38670512196393,1.81843889467557,1.49071675210432,2.20781743311241,0,1.11897815433838,0.876024203171642,1.56641140987741,0.985094738784463,0.918390284456291,0.913267954659398,1.11959813191863,0.756625710455677,0.980561449077461,0.810960102374185,1.16823772935797
"T.CD4.naive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.03695174019302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0139746409012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"T.CD4.memory",0.54555177071747,0.896939344882288,0.570454469931021,1.16323618551544,0.882855197014174,0.620635474614069,1.11215196559748,1.06869395417964,1.11847055163066,1.00194209267742,0.685544759894333,0.979152406185863,0.69212726562874,8.09756482779684,13.4353415319344,0.968871514494352,1.02685823557954,0.453740466269817,0.516571792044108,1.01861790627758,0.349073619496946,0.693734929708431,0.678943895646122,0.957947438860035,0.616603418590812,0.497539643493061,0.982625320240833,0.775295347516854,1.04698820275876,1.1060470062365,1.54321210175122,0.816024754960066,1.4993958261834,0.62096485016613,1.1338776437462,1.1687503341876,1.27360965041217,1.16292724647268,1.23206612472295,0,0.669453320361727,0.917599410138767,1.08694427523743,0.616404775901936,0.788334003139778,0.3959855733504,0.759277501526897,0.536550574526974,0.575598195154356,0.623509243314878,0.696235571511071,4.58809039173392,7.58810685770416,4.76329482392403,8.79406556249673,7.11581288793424,5.08921089183536,9.1530106768673,8.43199529847734,9.13790440682253,8.35619705292965,5.46379173635783,8.17592259165195,5.91768812112572,79.437110960687,132.338114089553,5.3869256205886,4.35387891885726,1.969233623611,2.68100760070892,3.58553503009707,1.49403509144693,4.46071559802521,3.87676964413936,2.8163654702485,1.64016509345156,2.2439037921537,4.1270263450115,4.08580648141382,5.80031464328351,6.12750041455021,8.05556717114137,4.55341813267717,7.75187642136816,3.62022507646854,6.0208902882923,5.76193914754489,6.87749211222571,6.18677295123466,7.05973889466248,0,3.58826979713886,4.91833283834379,5.60863246022514,3.00189125864243,3.51596965400341,1.90469060781542,4.00139243304675,2.74713894157811,3.20608194700976,2.98660927547826,3.41155430040425
"T.CD8.naive",0.173900253282396,0.816078236740701,0.677773570792803,0.69011863874507,0.365191259519864,0.755643440791746,0.653306033253028,0.525658412099804,0.676421061429491,0.730575343630134,0.714147751276108,0.851320790570101,0.49896135785759,0.118806265253173,1.2145818206338,0.661630480546125,0.993653320181662,0.275705114662601,0.51845755647273,0.313868578553273,0.3701679676,0.405135944786073,0.58716392037776,0.477047151166915,0.20290643945953,0.0997886309208409,0.719753572651547,0.233988357327617,1.04157694217312,0.640323872980865,0.89855516654455,0.493028622848002,0.828023038530676,0.385471032326267,0.651059591937936,0.441960410468136,0.597710012538529,0.612889148197287,0.621735302978578,0,0.357390737761734,0.358190485257885,0.508895405747358,0.346221969277902,0.27304045579402,0.291356849201996,0.267343845084386,0.492208890196591,0.375919410346601,0.158089251489712,0.447844401616459,1.46250113010495,6.90402188282633,5.6594093161199,5.21729690891273,2.9434415517301,6.19627621449232,5.37670865367242,4.14744487146745,5.52636007187894,6.09299836587532,5.69175757767058,7.10852860126034,4.2661196096824,1.16548946213363,11.963630933243,3.67866547183645,4.21309007757025,1.19656019763569,2.69079471809347,1.10481739650752,1.584318901328,2.60502412497445,3.35270598535701,1.40251862443073,0.539731128962351,0.450046725452993,3.0229650051365,1.23311864311654,5.77033625963907,3.54739425631399,4.69045796936255,2.75109971549185,4.28087910920359,2.24729611846214,3.45712643319044,2.17886482360791,3.22763406770806,3.26057026840957,3.56254328606725,0,1.91561435440289,1.91990100098226,2.62590029365637,1.68610099038338,1.21776043284133,1.4014264446616,1.40890206359472,2.52010951780655,2.09387111563057,0.757247514635719,2.19443756792065
"T.CD8.memory",0.00840603895169821,0.0530896951161148,0,0.177164048242055,0.0200084685021941,0,0,0.114056651614603,0,0,0,0,0,0.792461617147232,5.62018874378874,0,0,0,0,0.170225062860201,0,0.127552012751637,0,0,0,0,0.0688422536602188,0.0530592855304638,7.65746427735463e-07,0.0106769928623887,0.269621364081158,0.105513077912847,0.0284456467728746,0.234373285883765,0.0172403681873343,0,0,0.106001797657921,0.0306048225583814,0,0,0,0.186617989249983,0.0823758894689333,0.249418351730043,0.111654808613156,0.25004041318253,0.00211306928324528,0.0593251587423845,0.137264280481955,0.0178140752469411,0.0706947875837819,0.449138820682332,0,1.33936020470993,0.161268256127685,0,0,0.899906981239219,0,0,0,0,0,7.77404846421435,55.3588591263191,0,0,0,0,0.599192221267908,0,0.820159441993025,0,0,0,0,0.289137465372919,0.279622434745544,4.24223520965447e-06,0.0591505404576336,1.40742352050364,0.588762974753685,0.147063993815762,1.36639625670235,0.0915463550747453,0,0,0.56392956354014,0.175365633259526,0,0,0,0.962948824529913,0.401170581713705,1.11240584871599,0.537059629429281,1.31771297747193,0.0108189147302158,0.330441134195082,0.657495903508562,0.0872889687100113
"NK",0.138628955764307,0.359586995497313,0.320014810641499,0.328213997072467,0.358883009041461,0.257510819356983,0.341212193686933,0.38602028761241,0.206060482312754,0.356545631666493,0.282784439493931,0.361994240761794,0.233714139361703,0.0232594942237598,1.42718637896337,0.398217468499025,0.345598964103295,0.119635188154533,0.134923982505903,0.226570939902269,0.105233491847082,0.225280593885003,0.215105203022952,0.3243012612603,0.159813602213955,0.149094812316587,0.3302015266276,0.138043469111492,0.439510400761736,0.444375199164406,0.559859682431104,0.262267913497198,0.620771269867159,0.238132370497914,0.301517682392679,0.218473119118088,0.406713693069559,0.353520144486095,0.375551533193428,0,0.274625777351769,0.255548405933367,0.367288609796596,0.225051995278621,0.213424264458503,0.185499206251273,0.222673654829732,0.262941405254257,0.266121329319289,0.206723223922334,0.289152384019903,1.16586951797782,3.04210598190727,2.67212366885651,2.48129781786785,2.89259705287418,2.11158871872726,2.80817635404346,3.04570006926191,1.6835141404952,2.97359056809855,2.25379198276663,3.02265191036098,1.99825589154256,0.228175638335084,14.0577858327892,2.21408912485458,1.46533960779797,0.519216716590671,0.700255469205636,0.797529708455986,0.450399345105512,1.44855421868057,1.22825070926105,0.953445708105281,0.425104181889121,0.672417603547806,1.38684641183592,0.727489082217564,2.43488762022002,2.46183860337081,2.92246754229036,1.46345495731437,3.20938746521321,1.38831172000284,1.60105889350512,1.07707247725217,2.19625394257562,1.88072716866603,2.15191028519834,0,1.47199416660548,1.36973945580285,1.89520922655044,1.09600321700689,0.951872219484923,0.892251182068621,1.17349016095269,1.34625999490179,1.48229580430844,0.990204242587982,1.41684668169753
