"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51"
"macrophages",0.841310394249693,0.768390353909328,0.823102763476086,0.734707906856242,0.720316419361023,0.977655981650674,0.715391201722094,0.599834151924974,0.747356758568109,0.808457201015901,0.906148888487787,0.680355564205044,0.791609878869151,0.0507683240485544,0.00210116960612372,0.770526863030234,0.844752226431184,1,1,0.908348204211056,1,0.768306656192709,1,1,0.934770151969524,1,0.610573268951897,1,0.639355083533484,0.757664785281134,0.71651470510469,0.919988616153931,0.718273385939177,0.83133084185763,0.828005555084198,0.780996316215909,0.692658938540088,0.633552164107734,0.881513447862562,1,0.625650889600391,0.685796472178974,0.547079562620143,0.478772238926006,0.550140443783128,0.658895788597011,0.57115098008779,0.479911832823242,0.619024373214592,0.668168572084391,0.577679656042261
"mast",0.255709018685828,0.239214014338409,0.291554546462919,0.183150815062831,0.369314068447972,0.268515772273825,0.241006394615176,0.248818001408529,0.290966829043878,0.270317663500932,0.302427504886937,0.306378958804753,0.301044069316001,0.266473189423869,0.102732020928692,0.241558413815437,0.156991077080543,0.383813056811584,0.272633233388531,0.19649665843919,0.270021262867688,0.235249503086669,0.361525185681774,0.262180942476643,0.270219856180169,0.468048762862964,0.149431639736694,0.23255691635955,0.182353467458608,0.235820392234535,0.219117025557627,0.302975064612325,0.222735763925431,0.236033824587446,0.368458047535976,0.357936303571689,0.259989899399531,0.175720762598307,0.348653484203151,1,0.221945899459339,0.182043290922624,0.18280839440229,0.240285311097277,0.175224280952238,0.290556195116679,0.142652926976952,0.197884642085752,0.163155224959188,0.297399567403653,0.133457689861831
"B.naive",1,1,1,1,1,1,1,1,1,1,1,1,1,0.00355584642187079,0.223970588924994,1,0.966704044364429,1,1,1,1,1,1,1,1,1,0.90091171809281,1,0.947848089277743,1,1,1,1,1,1,1,1,1,1,1,0.88496005057941,1,0.895291734146886,1,1,0.994375477037243,1,0.968501821686543,1,1,0.949831387683672
"B.memory",1,1,1,1,1,1,1,1,1,1,1,1,1,0.156595555818506,0.00925161546627207,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"plasma",0.315814239148862,0.313179783215687,0.367868397371984,0.256352856573483,0.287982970658101,0.370015234453376,0.28973318895923,0.268871592793262,0.411818452058128,0.438363300712879,0.312929066752067,0.318507163973504,0.326280312761281,0.0240943952656627,0.0951453804820153,0.283836758805732,0.262742778322113,0.442106831182545,0.412352654920242,0.405646235105824,0.612283657050206,0.312007537790439,0.512968918178863,0.450453562458849,0.399271861385961,0.349155682594427,0.213409296289212,0.284925261887814,0.241630108268795,0.322653334658551,0.25433846288391,0.43225904133751,0.266753402449995,0.410131936006035,0.28215821317982,0.322224923997968,0.320448803854503,0.338680558913048,0.318073394987159,1,0.223273459338575,0.41386049174024,0.196024425227469,0.224212007158824,0.257253187949513,0.295728129787315,0.298731355922191,0.34612516496458,0.261898431987797,0.305552758769325,0.197557406714552
"T.CD4.naive",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.475849536921074,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"T.CD4.memory",0.507400095767801,0.645571399723519,0.734825742469598,0.531197967607313,0.622581610774817,0.718182019636613,0.591922531269303,0.531247828012339,0.539639437790147,0.602982892082462,0.684306421473308,0.594129563489812,0.60011554728249,0.175913576725718,0.155078720617631,0.579817646037023,0.566091424473884,0.691802692969732,0.706046640700456,0.554392993263676,0.790768601246969,0.605404495713344,0.733643502329554,0.602640282196405,0.571497184400664,0.549829863571855,0.5098775681734,0.514559961893135,0.620273293841141,0.629302169717108,0.53985721393688,0.63908170093448,0.56700865380022,0.708962058567272,0.61301589855689,0.523329436297143,0.554809904342722,0.543787731287799,0.603397596188668,1,0.523092970875797,0.504590846119372,0.450755220526964,0.548697387195455,0.496884633217998,0.720787665655584,0.565208815231708,0.60441686216264,0.577423375645571,0.547810395571633,0.529163285903585
"T.CD8.naive",0.785718184499486,0.638573673529659,0.651990210971568,0.648062076404531,0.802354836615049,0.602626666669772,0.704172730656742,0.707846077208896,0.659199310411871,0.658074097197838,0.641178372378454,0.61740079371344,0.662946989891369,0.968648296350385,0.837390190754321,0.659526938538232,0.521321906771445,0.773133695893214,0.66643490880085,0.806076911636517,0.755906515875663,0.713544380045442,0.725677808244035,0.744975502609823,0.820554334627971,0.86352944416635,0.582443108909061,0.797067583350192,0.572655638634957,0.730751345698001,0.669314388607498,0.737913671200728,0.70924108733,0.78816731015603,0.71388079424531,0.757751439378468,0.730804417629129,0.693456430379996,0.750545128724192,1,0.670615280276113,0.740200999718102,0.664192324107424,0.682567656959199,0.756766758128608,0.737846573933147,0.791949498277193,0.590987629588692,0.662695672901349,0.843269562279209,0.629232677853363
"T.CD8.memory",0.980687362656547,0.949325662368179,1,0.828713823428907,0.979169924654971,1,1,0.876545714965549,1,1,1,1,1,0.710933945428178,0.203830372789801,1,1,1,1,0.822500897915776,1,0.833310175328342,1,1,1,1,0.916814094018067,0.914449428918386,0.999999327487384,0.991152888361276,0.8187411579796,0.891708935740184,0.980352279140218,0.767408408443158,0.985325306190765,1,1,0.897731519587222,0.97550703197531,1,1,1,0.786343622309892,0.861930849946536,0.656543121708071,0.82548399612168,0.691216436907941,0.996258994152753,0.894655797326265,0.769808666314507,0.970054973743504
"NK",0.419303060323594,0.409699636071703,0.402494329135671,0.423886026620906,0.376508481242184,0.469335834160353,0.443088829386904,0.344564289135893,0.565800158773736,0.404348673627417,0.4445768654648,0.373526644579311,0.425726583124483,0.979231881167318,0.43891336651036,0.332844149515648,0.375175735733106,0.608305603989505,0.613696609889454,0.531508386724428,0.701633725753832,0.459705761702429,0.579163888983044,0.408842115128995,0.498212993499985,0.394270177821656,0.33483456671709,0.563377817744932,0.364505201737753,0.385684852003847,0.354122002587825,0.492392531279717,0.327302058052161,0.528396416162766,0.524901622310219,0.554818303062042,0.394076993086343,0.410896141060708,0.469124301901937,1,0.279356741248483,0.403028708062859,0.295217464509954,0.346621330646714,0.433454792661629,0.457163948844507,0.464038926467318,0.293976236161748,0.28985836544181,0.392871513232401,0.290454747668394
