"","cor w cell mixing","residual SD from cell mixing"
"ALDOC",0.914703103704946,0.294049577255655
"SMAP1",0.839472713380641,0.266317750628023
"ITGA5",0.38950939027159,0.667909633142702
"CDK1",0.649036523389743,0.481050609265949
"LGR5",0.83895512307494,0.275525111717458
"LY86",0.967292531273282,0.266136111202123
"DDIT3",0.56944541545267,0.418452521152862
"IL4",0.775650569195657,0.392081820003012
"CD36",0.8767047820847,0.25162174473247
"CD200",0.903192535008952,0.291104331505887
"MNAT1",0.815697139444866,0.259541261927723
"PLA2G1B",0.859438176134362,0.284397657146846
"BMP7",0.862808356285127,0.273449061543118
"RRAD",0.76533515197423,0.437993953581172
"MRE11",0.861661181516438,0.241518094680842
"NTF3",0.881944011655707,0.26630398185488
"PLA2G4A",0.829824480895071,0.294234163640527
"IFNGR1",0.991303309951927,0.210078168098686
"NDUFA1",0.781482369601801,0.423836133937692
"ULBP2",0.783330285159665,0.343358029834609
"ZBTB16",0.90696076021496,0.301907190211536
"MAGEB2",0.820949349842408,0.33507141395341
"PKMYT1",0.806400190152105,0.342873807846832
"DNMT3A",0.933144992991665,0.198240452226221
"TLR7",0.910958697395029,0.31613400284492
"CACNA2D1",0.770029733522375,0.344754721342143
"THY1",0.813048113375924,0.382888777288247
"CD247",0.985124703052583,0.233121347887007
"GRIA3",0.728303857243301,0.327546018456553
"KIF2C",0.804152238610231,0.366077375411444
"CD34",0.960983123621864,0.235066330990498
"ROCK1",0.91394254321723,0.224372030880614
"LAMP2",0.788835903224457,0.259838348456732
"RORC",0.88087165612334,0.249485228876982
"CNTFR",0.824935873163784,0.300351692152607
"ADAM12",0.882179746014719,0.28220428514441
"ICOSLG",0.931131788951601,0.313071793479537
"CCND3",0.978160356228327,0.29078426396561
"MPO",0.835788933674583,0.270475908398531
"COL4A4",0.926690591170284,0.280933210571665
"FUBP1",0.919889978106239,0.222152751097473
"COMP",0.831817451154559,0.284299798321054
"RPA3",0.818729203408103,0.26923696873951
"EGF",0.828655527079747,0.304035831111805
"TMEM140",0.85732436397857,0.251093074021804
"TYMP",0.995108405040514,0.283888944548689
"TNFSF14",0.872376534245327,0.285143695422472
"IFNG",0.806174299359743,0.312769942989993
"BATF",0.966095699123402,0.247968565333073
"TNC",0.836937085344263,0.421155824078904
"MBL2",0.869014975089837,0.249404530374888
"TRAC",0.996575717449792,0.263328169543704
"HLA-DRB4",0.995146418364254,0.347002850892634
"HDAC5",0.907370032938163,0.234255626196123
"COL5A1",0.692986070714973,0.493578706823345
"FAP",0.70032652723612,0.41275313140201
"FGF14",0.827787364147523,0.289075837121654
"SIGIRR",0.953861746424517,0.276462374388785
"ICAM2",0.942987660926087,0.241145252194081
"CXCL3",0.530565820879303,0.476081460808387
"KRT6A/B/C",0.870958213921601,0.266113599576985
"MASP2",0.851986215408377,0.266430788569163
"F12",0.832734213957369,0.263559966867663
"TIE1",0.691074979333757,0.405205315416915
"SETBP1",0.951845023144021,0.237405430137626
"BST1",0.87244440665224,0.263700413353759
"CD164",0.893396635226446,0.275610646604927
"LAMA5",0.847082415120058,0.294852159332845
"FGF3",0.810901827208111,0.328988685557118
"IL13RA2",0.6701849845908,0.406061106491356
"IRF5",0.689094251973209,0.414049120093748
"ATOX1",0.824015980718714,0.310093384956813
"MAP2K2",0.811954357501661,0.283856346559616
"CD7",0.966523460590778,0.289549985471054
"PLA2G5",0.86036219050774,0.313516571464765
"CSF3",0.479969930973838,0.489767203127633
"CDH1",0.95308334840269,0.249438766104104
"LGALS3",0.736417571271993,0.333058844167532
"C3",0.99932878682432,0.301464871974651
"IL1A",0.83233170720899,0.310486651772193
"RFC3",0.836423376585472,0.256755083718563
"MAD2L2",0.785779444361545,0.308965349893684
"GDF6",0.822273765576489,0.319305768926721
"LEF1",0.94943342243774,0.251072672677004
"CASP3",0.930777519178513,0.258604385217396
"SHC2",0.8410994933691,0.314251286132196
"HLA-DRA",0.990482920081284,0.23679659673227
"CENPF",0.802580410787669,0.380121823890274
"WNT11",0.82917640944658,0.265163743640721
"CACNA1D",0.653475641681783,0.384367167859682
"DUOX1",0.873447172138474,0.251365305475278
"LEFTY2",0.837551302336734,0.320883524650973
"MAGEA3",0.820194945125895,0.263442231772228
"TUBB",0.769490049314915,0.449243350409343
"CXCL6",0.824573649983845,0.30009187651441
"TTPA",0.851030038098969,0.297742821341953
"KDM6A",0.876407664704445,0.264763716995002
"MUC1",0.833240002131333,0.255566835660043
"JAK3",0.995851995241963,0.218730350143516
"SNAI1",0.861733845616044,0.26729488396922
"PDGFRB",0.887962341181007,0.379793803635654
"MEFV",0.820765436662918,0.326521130181371
"NR4A3",0.858094351558419,0.274118322661726
"MAPK3",0.884301424482076,0.22303049691435
"CXCL12",0.964587433749578,0.259387731758174
"NECTIN2",0.80135967216526,0.269442905682855
"RBP4",0.866963178055931,0.268938808962349
"C6",0.872228034796955,0.267835374809055
"LTB",0.987050964346476,0.261987887971933
"NASP",0.826607828839928,0.417993454676753
